Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
a5-notebook-insert,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",Joe's Venture,,Binder Accessories,,FALSE,Option 1,Dot,Option 2,Pack of 3,,,,,,,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",,,,,new,,,,,,draft
a5-notebook-insert,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",Joe's Venture,,Binder Accessories,,FALSE,Option 1,Grid,Option 2,Pack of 3,,,,,,,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",,,,,new,,,,,,draft
a5-notebook-insert,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",Joe's Venture,,Binder Accessories,,FALSE,Option 1,Blank,Option 2,Pack of 3,,,,,,,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",,,,,new,,,,,,draft
a5-notebook-insert,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",Joe's Venture,,Binder Accessories,,FALSE,Option 1,Lined,Option 2,Pack of 3,,,,,,,deny,manual,320.00,,TRUE,TRUE,,,,,FALSE,A5 Notebook Insert,"Upgrade your A5 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity.",,,,,new,,,,,,draft
a5-notebook-leather-cover,A5 Notebook Leather Cover,,Joe's Venture,,,,FALSE,Option 1,Buck brown,,,,,,0,shopify,,deny,manual,0.00,,TRUE,TRUE,,,,,FALSE,A5 Notebook Leather Cover,,,,,,new,,,,,,draft
a5-notebook-leather-cover,A5 Notebook Leather Cover,,Joe's Venture,,,,FALSE,Option 1,Limited edition,,,,,,0,shopify,,deny,manual,0.00,,TRUE,TRUE,,,,,FALSE,A5 Notebook Leather Cover,,,,,,new,,,,,,draft
a5-pen-sleeve,A5 Pen Sleeve,"Introducing the A5 Pen Sleeve - a quirky and fun way to keep your pens secure! Made from elastic and leather, this sleeve fits any A5 notebook, providing convenience and style. Never lose a pen again while adding a touch of personality to your writing.",Joe's Venture,,Pen & Pencil Cases,,FALSE,Option 1,Coffee brown,,,,,,0,shopify,,deny,manual,475.00,,TRUE,TRUE,,https://16.192.29.174.nip.io/assets/recovery/joes-venture/images/a5-pen-sleeve-01-a2e93b9082.jpg,1,A5 Pen Sleeve,FALSE,A5 Pen Sleeve,"Introducing the A5 Pen Sleeve - a quirky and fun way to keep your pens secure! Made from elastic and leather, this sleeve fits any A5 notebook, providing convenience and style. Never lose a pen again while adding a touch of personality to your writing.",,,,,new,,,,,,draft
a5-pen-sleeve,A5 Pen Sleeve,"Introducing the A5 Pen Sleeve - a quirky and fun way to keep your pens secure! Made from elastic and leather, this sleeve fits any A5 notebook, providing convenience and style. Never lose a pen again while adding a touch of personality to your writing.",Joe's Venture,,Pen & Pencil Cases,,FALSE,Option 1,Buck brown,,,,,,0,shopify,,deny,manual,475.00,,TRUE,TRUE,,,,,FALSE,A5 Pen Sleeve,"Introducing the A5 Pen Sleeve - a quirky and fun way to keep your pens secure! Made from elastic and leather, this sleeve fits any A5 notebook, providing convenience and style. Never lose a pen again while adding a touch of personality to your writing.",,,,,new,,,,,,draft
a5-pen-sleeve,A5 Pen Sleeve,"Introducing the A5 Pen Sleeve - a quirky and fun way to keep your pens secure! Made from elastic and leather, this sleeve fits any A5 notebook, providing convenience and style. Never lose a pen again while adding a touch of personality to your writing.",Joe's Venture,,Pen & Pencil Cases,,FALSE,Option 1,Ghost black,,,,,,0,shopify,,deny,manual,475.00,,TRUE,TRUE,,,,,FALSE,A5 Pen Sleeve,"Introducing the A5 Pen Sleeve - a quirky and fun way to keep your pens secure! Made from elastic and leather, this sleeve fits any A5 notebook, providing convenience and style. Never lose a pen again while adding a touch of personality to your writing.",,,,,new,,,,,,draft
a6-notebook-insert,A6 Notebook Insert,"Upgrade your A6 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity. This insert contains 64 pages.",Joe's Venture,,Binder Accessories,,FALSE,Option 1,Blank,Option 2,Pack of 6,,,,0,shopify,,deny,manual,450.00,,TRUE,TRUE,,,,,FALSE,A6 Notebook Insert,"Upgrade your A6 Analog Notebook with our durable notebook insert. Featuring sturdy machine binding, it ensures long-lasting use and keeps your notes secure. Say goodbye to loose pages and unreliable notebooks—this insert is built to withstand daily writing, planning, and creativity. This insert contains 64 pages.",,,,,new,,,,,,draft
